timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1601652354525,10808957,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652354526,51097,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652354526,5493,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652355528,10808906,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652355529,51097,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652355529,3726,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652356530,10809050,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652356531,51097,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652356531,3698,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652357532,10809042,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652357532,51097,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652357532,3344,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652358533,10808160,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652358534,51096,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652358534,3691,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652359535,10809035,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652359536,51096,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652359536,4493,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652360537,10808320,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652360538,51096,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652360538,2937,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652361539,10810972,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652361539,51096,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652361539,3312,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652362540,10811558,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652362541,51096,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652362541,3335,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652363542,10814121,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652363543,51167,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652363543,4276,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652364544,10814003,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652364545,51167,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652364545,5264,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652365546,10813937,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652365547,51167,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652365547,3142,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652366547,10813410,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652366548,51167,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652366548,3473,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652367549,10813121,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652367550,51167,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652367550,4142,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652368550,10810964,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652368551,51167,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652368551,4477,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652369551,10810855,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652369552,51166,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652369552,4882,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652370552,10810871,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652370553,51166,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652370553,2340,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652371554,10810878,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652371555,51166,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652371555,5639,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652372555,10808941,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652372556,51166,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652372556,3717,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652373556,10807914,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652373557,51165,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652373557,5641,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652374559,10808636,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652374559,51165,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652374559,4654,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652375560,10807855,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652375560,51165,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652375560,3522,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652376562,10805437,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652376563,51165,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652376563,3903,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652377563,10805398,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652377564,51165,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652377564,3916,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652378564,10805417,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652378565,51165,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652378565,4282,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652379566,10805292,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652379567,51165,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652379567,5075,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652380567,10805324,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652380568,51165,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652380568,3305,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652381569,10805500,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652381570,51165,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652381570,2724,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652382570,10805394,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652382571,51165,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652382571,5265,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652383572,10805351,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652383573,51165,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652383573,3719,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652384574,10804707,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652384575,51164,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652384575,7396,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652385575,10804929,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652385575,51164,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652385576,4856,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652386576,10804632,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652386577,51164,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652386577,6636,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652387579,10804628,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652387579,51164,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652387579,5073,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652388580,10804507,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652388581,51164,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652388581,6435,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652389582,10804859,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652389583,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652389583,7053,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652390584,10803652,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652390585,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652390585,5674,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652391586,10811398,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652391587,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652391587,10499,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652392587,10812910,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652392588,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652392588,8990,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652393588,10815464,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652393588,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652393589,6070,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652394590,10820046,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652394591,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652394591,7198,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652395592,10820148,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652395593,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652395593,8601,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652396594,10821308,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652396594,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652396594,8221,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652397595,10822640,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652397595,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652397596,8017,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652398597,10823394,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652398597,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652398597,5639,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652399597,10823421,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652399597,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652399597,4676,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652400598,10822500,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652400598,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652400598,4302,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652401598,10821750,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652401598,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652401598,4079,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652402599,10821750,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652402599,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652402599,4698,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652403600,10821808,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652403600,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652403600,4506,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652404601,10822109,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652404601,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652404601,4656,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652405601,10821308,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652405601,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652405601,3493,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652406602,10820710,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652406602,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652406602,6807,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652407603,10820839,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652407603,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652407603,5062,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652408603,10821437,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652408603,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652408603,7196,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652409603,10823613,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652409603,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652409603,5498,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652410603,10826820,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652410603,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652410603,4079,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652411604,10826757,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652411604,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652411604,7641,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652412605,10826910,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652412605,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652412605,3704,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652413607,10826777,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652413607,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652413607,4091,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652414608,10825812,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652414608,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652414608,5829,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652415608,10825699,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652415608,51160,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652415608,7783,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652416608,10825578,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652416608,51160,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652416608,6688,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652417609,10825535,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652417609,51160,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652417609,6814,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652418610,10824386,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652418610,51160,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652418610,6958,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652419611,10825484,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652419611,51160,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652419611,7260,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652420611,10824683,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652420611,51160,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652420611,9754,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652421612,10823742,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652421612,51159,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652421612,7644,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652422613,10823136,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652422613,51159,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652422613,5607,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652423613,10823421,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652423613,51158,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652423613,10010,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652424613,10820515,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652424613,51158,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652424613,4232,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652425613,10820476,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652425613,51158,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652425613,6285,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652426614,10820386,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652426614,51158,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652426614,7813,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652427615,10819542,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652427615,51158,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652427615,7412,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
